年,週,年齡別,縣市,急性腹瀉急診就診人次
2007,06,19-64,台中市,475
2007,06,19-64,台南市,174
2007,06,19-64,台東縣,10
2007,06,19-64,雲林縣,39
2007,06,19-64,基隆市,42
2007,06,65+,嘉義市,2
2007,06,65+,嘉義縣,11
2007,06,65+,桃園市,52
2007,06,65+,屏東縣,15
2007,06,65+,南投縣,25
2007,06,65+,彰化縣,9
2007,06,65+,宜蘭縣,13
2007,06,65+,新北市,72
2007,06,65+,新竹市,27
2007,06,65+,新竹縣,12
2007,06,65+,花蓮縣,1
2007,06,65+,苗栗縣,10
2007,06,65+,高雄市,109
2007,06,65+,台北市,107
2007,06,65+,台中市,47
2007,06,65+,台南市,33
2007,06,65+,台東縣,1
2007,06,65+,雲林縣,9
2007,06,65+,基隆市,8
2007,06,7-12,嘉義市,4
2007,06,7-12,嘉義縣,2
2007,06,7-12,桃園市,20
2007,06,7-12,屏東縣,9
2007,06,7-12,南投縣,9
2007,06,7-12,彰化縣,1
2007,06,7-12,宜蘭縣,16
2007,06,7-12,新北市,41
2007,06,7-12,新竹市,23
2007,06,7-12,新竹縣,2
2007,06,7-12,花蓮縣,4
2007,06,7-12,苗栗縣,5
2007,06,7-12,高雄市,69
2007,06,7-12,台北市,69
2007,06,7-12,台中市,48
2007,06,7-12,台南市,13
2007,06,7-12,台東縣,2
2007,06,7-12,雲林縣,8
2007,06,7-12,基隆市,1
2007,07,0-6,嘉義市,32
2007,07,0-6,嘉義縣,20
2007,07,0-6,桃園市,160
2007,07,0-6,屏東縣,54
2007,07,0-6,南投縣,22
2007,07,0-6,彰化縣,12
2007,07,0-6,宜蘭縣,19
2007,07,0-6,新北市,180
2007,07,0-6,新竹市,117
2007,07,0-6,新竹縣,24
2007,07,0-6,花蓮縣,11
2007,07,0-6,苗栗縣,20
2007,07,0-6,高雄市,309
2007,07,0-6,台北市,260
2007,07,0-6,台中市,216
2007,07,0-6,台南市,71
2007,07,0-6,台東縣,8
2007,07,0-6,雲林縣,46
2007,07,0-6,基隆市,24
2007,07,13-18,嘉義市,4
2007,07,13-18,嘉義縣,6
2007,07,13-18,桃園市,35
2007,07,13-18,屏東縣,14
2007,07,13-18,南投縣,5
2007,07,13-18,宜蘭縣,9
2007,07,13-18,新北市,44
2007,07,13-18,新竹市,20
2007,07,13-18,新竹縣,9
2007,07,13-18,花蓮縣,4
2007,07,13-18,苗栗縣,9
2007,07,13-18,高雄市,64
2007,07,13-18,台北市,54
2007,07,13-18,台中市,50
2007,07,13-18,台南市,22
2007,07,13-18,台東縣,6
2007,07,13-18,雲林縣,7
2007,07,13-18,基隆市,5
2007,07,19-64,嘉義市,28
2007,07,19-64,嘉義縣,39
2007,07,19-64,桃園市,301
2007,07,19-64,屏東縣,120
2007,07,19-64,南投縣,74
2007,07,19-64,彰化縣,29
2007,07,19-64,宜蘭縣,54
2007,07,19-64,新北市,563
2007,07,19-64,新竹市,248
2007,07,19-64,新竹縣,91
2007,07,19-64,花蓮縣,28
2007,07,19-64,苗栗縣,81
2007,07,19-64,高雄市,545
2007,07,19-64,台北市,649
2007,07,19-64,台中市,404
2007,07,19-64,台南市,188
2007,07,19-64,台東縣,18
2007,07,19-64,雲林縣,35
2007,07,19-64,基隆市,45
2007,07,65+,嘉義市,7
2007,07,65+,嘉義縣,9
2007,07,65+,桃園市,68
2007,07,65+,屏東縣,30
2007,07,65+,南投縣,16
