縣市別,鄉鎮別,年別,治療成功率
68000,中壢區,2014,77.9
68000,平鎮區,2014,74.1
68000,桃園區,2014,73.3
68000,復興區,2014,81.3
68000,新屋區,2014,57.9
68000,楊梅區,2014,81.5
68000,龍潭區,2014,73.5
68000,龜山區,2014,74.2
68000,蘆竹區,2014,94.2
68000,觀音區,2014,77.8
68000,八德區,2013,68.1
68000,大園區,2013,76.5
68000,大溪區,2013,80.9
68000,中壢區,2013,81.3
68000,平鎮區,2013,66.7
68000,桃園區,2013,77.6
68000,復興區,2013,81
68000,新屋區,2013,60
68000,楊梅區,2013,73.3
68000,龍潭區,2013,76.3
68000,龜山區,2013,81.4
68000,蘆竹區,2013,71.4
68000,觀音區,2013,95
10004,五峰鄉,2021,100
10004,北埔鄉,2021,100
10004,尖石鄉,2021,87.5
10004,竹北市,2021,83.3
10004,竹東鎮,2021,69.8
10004,芎林鄉,2021,80
10004,峨眉鄉,2021,0
10004,湖口鄉,2021,66.7
10004,新埔鎮,2021,77.8
10004,新豐鄉,2021,61.5
10004,橫山鄉,2021,100
10004,關西鎮,2021,66.7
10004,寶山鄉,2021,100
10004,五峰鄉,2020,60
10004,北埔鄉,2020,100
10004,尖石鄉,2020,75
10004,竹北市,2020,85.7
10004,竹東鎮,2020,68.2
10004,芎林鄉,2020,100
10004,湖口鄉,2020,86.7
10004,新埔鎮,2020,83.3
10004,新豐鄉,2020,90
10004,橫山鄉,2020,100
10004,關西鎮,2020,85.7
10004,寶山鄉,2020,80
10004,五峰鄉,2019,60
10004,北埔鄉,2019,75
10004,尖石鄉,2019,77.8
10004,竹北市,2019,81
10004,竹東鎮,2019,69.2
10004,芎林鄉,2019,75
10004,峨眉鄉,2019,50
10004,湖口鄉,2019,68.2
10004,新埔鎮,2019,85
10004,新豐鄉,2019,56.3
10004,橫山鄉,2019,80
10004,關西鎮,2019,69.2
10004,寶山鄉,2019,75
10004,五峰鄉,2018,42.9
10004,北埔鄉,2018,100
10004,尖石鄉,2018,85.7
10004,竹北市,2018,79.5
10004,竹東鎮,2018,70.8
10004,芎林鄉,2018,100
10004,湖口鄉,2018,84.2
10004,新埔鎮,2018,62.5
10004,新豐鄉,2018,63.6
10004,橫山鄉,2018,50
10004,關西鎮,2018,66.7
10004,寶山鄉,2018,100
10004,五峰鄉,2017,85.7
10004,北埔鄉,2017,0
10004,尖石鄉,2017,100
10004,竹北市,2017,76.3
10004,竹東鎮,2017,79.6
10004,芎林鄉,2017,0
10004,峨眉鄉,2017,100
10004,湖口鄉,2017,55.6
10004,新埔鎮,2017,58.3
10004,新豐鄉,2017,60
10004,橫山鄉,2017,100
10004,關西鎮,2017,50
10004,寶山鄉,2017,100
10004,五峰鄉,2016,71.4
10004,北埔鄉,2016,60
10004,尖石鄉,2016,75
10004,竹北市,2016,77.5
10004,竹東鎮,2016,72.1
10004,芎林鄉,2016,50
10004,峨眉鄉,2016,100
10004,湖口鄉,2016,75.9
10004,新埔鎮,2016,81.8
10004,新豐鄉,2016,69.2
10004,橫山鄉,2016,100
10004,關西鎮,2016,76.9
10004,寶山鄉,2016,66.7
10004,五峰鄉,2015,100
10004,北埔鄉,2015,100
10004,尖石鄉,2015,50
10004,竹北市,2015,78.8
10004,竹東鎮,2015,73.8
10004,芎林鄉,2015,83.3
10004,湖口鄉,2015,65.7
10004,新埔鎮,2015,75
10004,新豐鄉,2015,86.4
10004,橫山鄉,2015,71.4
10004,關西鎮,2015,71.4
10004,寶山鄉,2015,75
10004,五峰鄉,2014,75
10004,北埔鄉,2014,50
10004,尖石鄉,2014,76.9
10004,竹北市,2014,79.5
10004,竹東鎮,2014,67.4
10004,芎林鄉,2014,71.4
10004,峨眉鄉,2014,100
10004,湖口鄉,2014,94.4
10004,新埔鎮,2014,100
10004,新豐鄉,2014,71.4
10004,橫山鄉,2014,100
10004,關西鎮,2014,60
10004,寶山鄉,2014,83.3
10004,五峰鄉,2013,90
10004,北埔鄉,2013,66.7
10004,尖石鄉,2013,63.2
10004,竹北市,2013,85.7
10004,竹東鎮,2013,76.3
10004,芎林鄉,2013,100
10004,峨眉鄉,2013,100
10004,湖口鄉,2013,83.3
10004,新埔鎮,2013,80
10004,新豐鄉,2013,72.7
10004,橫山鄉,2013,100
10004,關西鎮,2013,81.8
10004,寶山鄉,2013,100
10018,北  區,2021,63.3
10018,東  區,2021,78.6
10018,香山區,2021,73.3
10018,北  區,2020,64.3
10018,東  區,2020,61.4
10018,香山區,2020,72.7
10018,北  區,2019,66
10018,東  區,2019,75.7
10018,香山區,2019,74.1
10018,北區,2018,76.9
10018,東區,2018,75
10018,香山區,2018,80
10018,北區,2017,71.4
10018,東區,2017,80.7
10018,香山區,2017,81.3
10018,北區,2016,76.3
10018,東區,2016,90.7
10018,香山區,2016,69.2
10018,北區,2015,72.7
10018,東區,2015,84.9
10018,香山區,2015,88
10018,北區,2014,76.7
10018,東區,2014,74
10018,香山區,2014,85.7
10018,北區,2013,72.7
10018,東區,2013,73.2
10018,香山區,2013,59.1
10005,三義鄉,2021,66.7
10005,大湖鄉,2021,100
10005,公館鄉,2021,66.7
10005,竹南鎮,2021,75
10005,西湖鄉,2021,0
10005,卓蘭鎮,2021,66.7
10005,南庄鄉,2021,66.7
10005,後龍鎮,2021,76.9
10005,苑裡鎮,2021,85.7
10005,苗栗市,2021,72.2
10005,泰安鄉,2021,60
10005,通霄鎮,2021,60
10005,造橋鄉,2021,0
10005,銅鑼鄉,2021,25
10005,頭份鎮,2021,57.1
10005,頭屋鄉,2021,50
10005,三義鄉,2020,75
10005,三灣鄉,2020,100
10005,大湖鄉,2020,100
10005,公館鄉,2020,100
10005,竹南鎮,2020,70.4
10005,西湖鄉,2020,100
10005,卓蘭鎮,2020,50
10005,南庄鄉,2020,25
10005,後龍鎮,2020,53.3
10005,苑裡鎮,2020,62.5
10005,苗栗市,2020,84.6
10005,泰安鄉,2020,100
10005,通霄鎮,2020,70
10005,造橋鄉,2020,80
10005,獅潭鄉,2020,0
10005,銅鑼鄉,2020,100
10005,頭份鎮,2020,61.9
10005,頭屋鄉,2020,71.4
10005,三義鄉,2019,66.7
10005,大湖鄉,2019,75
10005,公館鄉,2019,55.6
10005,竹南鎮,2019,64.3
10005,西湖鄉,2019,100
10005,卓蘭鎮,2019,88.9
10005,南庄鄉,2019,75
10005,後龍鎮,2019,86.7
10005,苑裡鎮,2019,61.1
10005,苗栗市,2019,87.5
10005,泰安鄉,2019,92.3
10005,通霄鎮,2019,53.3
10005,造橋鄉,2019,100
10005,獅潭鄉,2019,100
10005,銅鑼鄉,2019,80
10005,頭份鎮,2019,73.3
10005,頭屋鄉,2019,100
10005,三義鄉,2018,100
10005,三灣鄉,2018,100
10005,大湖鄉,2018,50
10005,公館鄉,2018,100
10005,竹南鎮,2018,86.4
10005,西湖鄉,2018,100
10005,卓蘭鎮,2018,75
