年別,縣市別,MDR總人數,團隊照護中人數,未加入團隊人數,男性人數,女性人數,0-49歲人數,50-64歲人數,65歲以上人數,MDR-TB人數,XDR-TB人數
2012,10009,6,4,2,3,3,4,1,1,6,0
2012,10010,1,1,0,0,1,0,1,0,1,0
2012,10020,2,2,0,1,1,0,2,0,2,0
2012,10021,6,5,1,5,1,2,3,1,6,0
2012,64000,15,11,4,12,3,4,5,6,15,0
2012,10013,9,8,1,8,1,2,1,6,9,0
2012,10015,14,14,0,10,4,6,4,4,14,0
2012,10014,1,1,0,1,0,0,1,0,1,0
2012,-,126,108,18,100,26,44,42,40,126,0
2011,63000,13,9,4,7,6,6,2,5,13,0
2011,65000,20,17,3,14,6,9,8,3,20,0
2011,10002,4,4,0,2,2,3,1,0,4,0
2011,10017,2,1,1,2,0,0,2,0,2,0
2011,68000,9,8,1,8,1,2,5,2,9,0
2011,10004,4,2,2,4,0,1,1,2,4,0
2011,10005,1,0,1,0,1,0,0,1,1,0
2011,10019,13,13,0,11,2,6,4,3,13,0
2011,10008,7,6,1,3,4,2,2,3,7,0
2011,10007,13,11,2,7,6,4,3,6,13,0
2011,10009,7,6,1,7,0,1,3,3,7,0
2011,10010,5,3,2,3,2,1,2,2,5,0
2011,10020,3,2,1,3,0,0,2,1,3,0
2011,10021,17,15,2,14,3,8,5,4,17,0
2011,64000,20,12,8,16,4,7,7,6,20,0
2011,10013,8,7,1,6,2,3,5,0,8,0
2011,10015,4,3,1,2,2,1,2,1,4,0
2011,10014,4,4,0,2,2,2,0,2,4,0
2011,-,154,123,31,111,43,56,54,44,154,0
2010,63000,10,5,5,5,5,5,0,5,10,0
2010,65000,24,20,4,17,7,9,8,7,24,0
2010,10002,3,3,0,3,0,1,0,2,3,0
2010,10017,3,2,1,2,1,0,1,2,3,0
2010,68000,7,7,0,5,2,3,4,0,7,0
2010,10004,3,2,1,2,1,2,0,1,3,0
2010,10018,4,4,0,1,3,1,1,2,4,0
2010,10019,16,12,4,13,3,4,4,8,16,0
2010,10008,9,6,3,7,2,6,0,3,9,0
2010,10007,8,8,0,5,3,1,3,4,8,0
2010,10009,5,5,0,5,0,2,2,1,5,0
2010,10010,3,3,0,3,0,1,1,1,3,0
2010,10020,1,0,1,1,0,0,0,1,1,0
2010,10021,10,7,3,8,2,4,3,3,10,0
2010,64000,25,22,3,15,10,10,7,8,25,0
2010,10013,6,5,1,6,0,3,2,1,6,0
2010,10015,14,14,0,11,3,3,6,5,14,0
2010,10014,5,4,1,3,2,2,0,3,5,0
2010,-,156,129,27,112,44,57,42,57,156,0
2009,63000,10,8,2,5,5,4,3,3,10,0
2009,65000,29,27,2,18,11,12,6,11,29,0
2009,10002,3,2,1,2,1,2,0,1,3,0
2009,10017,8,6,2,5,3,3,3,2,8,0
2009,68000,6,4,2,2,4,6,0,0,6,0
2009,10004,1,1,0,1,0,0,0,1,1,0
2009,10018,4,4,0,3,1,2,1,1,4,0
2009,10005,2,2,0,1,1,0,2,0,2,0
2009,10019,18,17,1,12,6,7,9,2,18,0
2009,10008,7,7,0,5,2,1,5,1,7,0
2009,10007,20,15,5,10,10,8,4,8,20,0
2009,10009,4,3,1,3,1,0,2,2,4,0
2009,10010,7,5,2,6,1,2,2,3,7,0
2009,10020,1,1,0,1,0,1,0,0,1,0
2009,10021,9,9,0,4,5,3,4,2,9,0
2009,64000,23,17,6,23,0,10,5,8,23,0
2009,10013,5,4,1,4,1,4,0,1,5,0
2009,10015,17,16,1,11,6,10,1,6,17,0
2009,10014,2,2,0,1,1,2,0,0,2,0
2009,-,176,150,26,117,59,77,47,52,176,0
2008,63000,11,7,4,5,6,6,4,1,11,0
2008,65000,31,24,7,23,8,17,7,7,31,0
2008,10002,2,2,0,2,0,2,0,0,2,0
2008,10017,2,1,1,2,0,2,0,0,2,0
2008,68000,13,12,1,9,4,7,4,2,13,0
2008,10004,5,3,2,1,4,3,0,2,5,0
2008,10018,1,1,0,1,0,0,0,1,1,0
2008,10005,3,2,1,1,2,3,0,0,3,0
2008,10019,16,15,1,11,5,11,3,2,16,0
2008,10008,6,6,0,4,2,3,2,1,6,0
2008,10007,13,11,2,10,3,3,4,6,13,0
2008,10009,7,5,2,7,0,3,2,2,7,0
2008,10010,5,3,2,2,3,1,0,4,5,0
2008,10020,1,0,1,1,0,0,0,1,1,0
2008,10021,11,11,0,6,5,2,5,4,11,0
2008,64000,15,7,8,10,5,7,3,5,15,0
2008,10013,8,6,2,7,1,1,2,5,8,0
2008,10015,6,5,1,3,3,5,1,0,6,0
2008,10014,3,3,0,3,0,0,2,1,3,0
2008,-,159,124,35,108,51,76,39,44,159,0
