確定病名,死亡年份,死亡週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19SC,2025,23,宜蘭縣,礁溪鄉,M,0,70+,1,10002,10002050
19SC,2025,23,苗栗縣,苗栗市,M,0,35~39,1,10005,10005010
19SC,2025,23,彰化縣,彰化市,M,0,70+,1,10007,10007010
19SC,2025,23,彰化縣,花壇鄉,M,0,70+,1,10007,10007080
19SC,2025,23,屏東縣,佳冬鄉,F,0,55~59,1,10013,10013210
19SC,2025,23,屏東縣,內埔鄉,M,0,65~69,1,10013,10013130
19SC,2025,23,屏東縣,恆春鎮,M,0,60~64,1,10013,10013040
19SC,2025,23,屏東縣,泰武鄉,M,0,70+,1,10013,10013290
19SC,2025,23,屏東縣,潮州鎮,M,0,60~64,1,10013,10013020
19SC,2025,23,基隆市,仁愛區,M,0,70+,1,10017,10017040
19SC,2025,23,台北市,士林區,M,0,65~69,1,63000,63000110
19SC,2025,23,台北市,士林區,F,0,70+,1,63000,63000110
19SC,2025,23,台北市,大安區,M,0,70+,1,63000,63000030
19SC,2025,23,台北市,松山區,M,0,60~64,1,63000,63000010
19SC,2025,23,高雄市,楠梓區,M,0,70+,1,64000,64000040
19SC,2025,23,高雄市,燕巢區,F,0,70+,1,64000,64000210
19SC,2025,23,新北市,三峽區,M,0,55~59,1,65000,65000090
19SC,2025,23,新北市,三峽區,F,0,70+,1,65000,65000090
19SC,2025,23,新北市,三重區,M,0,70+,1,65000,65000020
19SC,2025,23,新北市,新莊區,F,0,70+,1,65000,65000050
19SC,2025,23,台中市,南屯區,M,0,70+,1,66000,66000070
19SC,2025,23,台中市,大里區,F,0,30~34,1,66000,66000280
19SC,2025,23,台中市,沙鹿區,M,0,70+,1,66000,66000130
19SC,2025,23,台中市,清水區,M,0,70+,1,66000,66000120
19SC,2025,23,桃園市,中壢區,F,0,70+,1,68000,68000020
19SC,2025,23,桃園市,中壢區,M,0,70+,1,68000,68000020
