年,週,就診類別,年齡別,縣市,腹瀉健保就診人次,健保就診總人次,縣市別代碼
2016,02,住院,7~12,基隆市,0,5,10017
2016,02,住院,7~12,新竹市,0,9,10018
2016,02,住院,7~12,台北市,6,103,63000
2016,02,住院,7~12,高雄市,1,29,64000
2016,02,住院,7~12,新北市,0,19,65000
2016,02,住院,7~12,台中市,1,71,66000
2016,02,住院,7~12,台南市,0,10,67000
2016,02,住院,7~12,桃園市,3,38,68000
2016,02,住院,不詳,台北市,0,3,63000
2016,02,住院,不詳,台中市,0,1,66000
2016,02,門診,0~2,連江縣,1,16,09007
2016,02,門診,0~2,金門縣,20,368,09020
2016,02,門診,0~2,宜蘭縣,111,2238,10002
2016,02,門診,0~2,新竹縣,204,3327,10004
2016,02,門診,0~2,苗栗縣,161,2796,10005
2016,02,門診,0~2,彰化縣,455,7423,10007
2016,02,門診,0~2,南投縣,157,2536,10008
2016,02,門診,0~2,雲林縣,193,3444,10009
2016,02,門診,0~2,嘉義縣,69,1263,10010
2016,02,門診,0~2,屏東縣,280,4114,10013
2016,02,門診,0~2,台東縣,55,789,10014
2016,02,門診,0~2,花蓮縣,80,1609,10015
2016,02,門診,0~2,澎湖縣,28,429,10016
2016,02,門診,0~2,基隆市,144,1678,10017
2016,02,門診,0~2,新竹市,290,4121,10018
2016,02,門診,0~2,嘉義市,190,2259,10020
2016,02,門診,0~2,台北市,737,12436,63000
2016,02,門診,0~2,高雄市,931,14797,64000
2016,02,門診,0~2,新北市,1456,23568,65000
2016,02,門診,0~2,台中市,1296,18660,66000
2016,02,門診,0~2,台南市,715,10122,67000
2016,02,門診,0~2,桃園市,832,12574,68000
2016,02,門診,13~15,連江縣,0,11,09007
2016,02,門診,13~15,金門縣,7,329,09020
2016,02,門診,13~15,宜蘭縣,65,1976,10002
2016,02,門診,13~15,新竹縣,99,1986,10004
2016,02,門診,13~15,苗栗縣,76,1908,10005
2016,02,門診,13~15,彰化縣,241,5625,10007
2016,02,門診,13~15,南投縣,95,2256,10008
2016,02,門診,13~15,雲林縣,109,3369,10009
2016,02,門診,13~15,嘉義縣,63,1689,10010
2016,02,門診,13~15,屏東縣,135,2932,10013
2016,02,門診,13~15,台東縣,19,706,10014
2016,02,門診,13~15,花蓮縣,41,1186,10015
2016,02,門診,13~15,澎湖縣,20,553,10016
2016,02,門診,13~15,基隆市,79,1596,10017
2016,02,門診,13~15,新竹市,83,2188,10018
2016,02,門診,13~15,嘉義市,92,1872,10020
2016,02,門診,13~15,台北市,393,9584,63000
2016,02,門診,13~15,高雄市,376,9840,64000
2016,02,門診,13~15,新北市,877,17877,65000
2016,02,門診,13~15,台中市,569,12764,66000
2016,02,門診,13~15,台南市,332,7644,67000
2016,02,門診,13~15,桃園市,365,9204,68000
2016,02,門診,16~18,連江縣,2,19,09007
2016,02,門診,16~18,金門縣,9,382,09020
2016,02,門診,16~18,宜蘭縣,66,1706,10002
2016,02,門診,16~18,新竹縣,81,1871,10004
2016,02,門診,16~18,苗栗縣,90,2049,10005
2016,02,門診,16~18,彰化縣,244,5769,10007
2016,02,門診,16~18,南投縣,98,1917,10008
2016,02,門診,16~18,雲林縣,109,3349,10009
2016,02,門診,16~18,嘉義縣,85,1584,10010
2016,02,門診,16~18,屏東縣,150,3035,10013
2016,02,門診,16~18,台東縣,17,706,10014
2016,02,門診,16~18,花蓮縣,61,1279,10015
2016,02,門診,16~18,澎湖縣,8,480,10016
2016,02,門診,16~18,基隆市,105,1766,10017
2016,02,門診,16~18,新竹市,89,2173,10018
2016,02,門診,16~18,嘉義市,93,2098,10020
2016,02,門診,16~18,台北市,497,10475,63000
2016,02,門診,16~18,高雄市,535,10949,64000
2016,02,門診,16~18,新北市,1029,18475,65000
2016,02,門診,16~18,台中市,771,13533,66000
2016,02,門診,16~18,台南市,385,7878,67000
2016,02,門診,16~18,桃園市,395,9492,68000
2016,02,門診,19~24,連江縣,4,161,09007
2016,02,門診,19~24,金門縣,19,644,09020
2016,02,門診,19~24,宜蘭縣,96,3047,10002
2016,02,門診,19~24,新竹縣,135,3099,10004
2016,02,門診,19~24,苗栗縣,146,3453,10005
