年,週,年齡別,縣市,類流感急診就診人次,縣市別代碼
2007,06,7~12,花蓮縣,11,10015
2007,06,7~12,苗栗縣,11,10005
2007,06,7~12,高雄市,108,64000
2007,06,7~12,台北市,87,63000
2007,06,7~12,台中市,67,66000
2007,06,7~12,台南市,57,67000
2007,06,7~12,台東縣,15,10014
2007,06,7~12,雲林縣,10,10009
2007,06,7~12,基隆市,8,10017
2007,07,0~6,嘉義市,49,10020
2007,07,0~6,嘉義縣,61,10010
2007,07,0~6,桃園市,409,68000
2007,07,0~6,屏東縣,184,10013
2007,07,0~6,南投縣,53,10008
2007,07,0~6,彰化縣,76,10007
2007,07,0~6,宜蘭縣,33,10002
2007,07,0~6,新北市,419,65000
2007,07,0~6,新竹市,181,10018
2007,07,0~6,新竹縣,69,10004
2007,07,0~6,花蓮縣,59,10015
2007,07,0~6,苗栗縣,68,10005
2007,07,0~6,高雄市,543,64000
2007,07,0~6,台北市,648,63000
2007,07,0~6,台中市,442,66000
2007,07,0~6,台南市,329,67000
2007,07,0~6,台東縣,43,10014
2007,07,0~6,雲林縣,109,10009
2007,07,0~6,基隆市,71,10017
2007,07,13~18,嘉義市,4,10020
2007,07,13~18,嘉義縣,11,10010
2007,07,13~18,桃園市,37,68000
2007,07,13~18,屏東縣,35,10013
2007,07,13~18,南投縣,10,10008
2007,07,13~18,彰化縣,12,10007
2007,07,13~18,宜蘭縣,6,10002
2007,07,13~18,新北市,67,65000
2007,07,13~18,新竹市,25,10018
2007,07,13~18,新竹縣,11,10004
2007,07,13~18,花蓮縣,7,10015
2007,07,13~18,苗栗縣,18,10005
2007,07,13~18,高雄市,54,64000
2007,07,13~18,台北市,69,63000
2007,07,13~18,台中市,45,66000
2007,07,13~18,台南市,28,67000
2007,07,13~18,台東縣,11,10014
2007,07,13~18,雲林縣,2,10009
2007,07,13~18,基隆市,8,10017
2007,07,19~64,嘉義市,44,10020
2007,07,19~64,嘉義縣,63,10010
2007,07,19~64,桃園市,436,68000
2007,07,19~64,屏東縣,165,10013
2007,07,19~64,南投縣,95,10008
2007,07,19~64,彰化縣,118,10007
2007,07,19~64,宜蘭縣,65,10002
2007,07,19~64,新北市,666,65000
2007,07,19~64,新竹市,333,10018
2007,07,19~64,新竹縣,129,10004
2007,07,19~64,花蓮縣,54,10015
2007,07,19~64,苗栗縣,115,10005
2007,07,19~64,高雄市,598,64000
2007,07,19~64,台北市,844,63000
2007,07,19~64,台中市,585,66000
2007,07,19~64,台南市,238,67000
2007,07,19~64,台東縣,43,10014
2007,07,19~64,雲林縣,69,10009
2007,07,19~64,基隆市,40,10017
2007,07,65+,嘉義市,21,10020
2007,07,65+,嘉義縣,33,10010
2007,07,65+,桃園市,181,68000
2007,07,65+,屏東縣,82,10013
2007,07,65+,南投縣,67,10008
2007,07,65+,彰化縣,54,10007
2007,07,65+,宜蘭縣,32,10002
2007,07,65+,新北市,176,65000
2007,07,65+,新竹市,94,10018
2007,07,65+,新竹縣,34,10004
2007,07,65+,花蓮縣,29,10015
2007,07,65+,苗栗縣,38,10005
2007,07,65+,高雄市,207,64000
2007,07,65+,台北市,256,63000
2007,07,65+,台中市,199,66000
2007,07,65+,台南市,124,67000
2007,07,65+,台東縣,7,10014
2007,07,65+,雲林縣,21,10009
2007,07,65+,基隆市,20,10017
2007,07,7~12,嘉義市,11,10020
2007,07,7~12,嘉義縣,12,10010
2007,07,7~12,桃園市,42,68000
2007,07,7~12,屏東縣,55,10013
2007,07,7~12,南投縣,10,10008
2007,07,7~12,彰化縣,17,10007
2007,07,7~12,宜蘭縣,9,10002
2007,07,7~12,新北市,70,65000
2007,07,7~12,新竹市,18,10018
2007,07,7~12,新竹縣,14,10004
2007,07,7~12,花蓮縣,8,10015
2007,07,7~12,苗栗縣,13,10005
2007,07,7~12,高雄市,95,64000
2007,07,7~12,台北市,94,63000
2007,07,7~12,台中市,77,66000
2007,07,7~12,台南市,38,67000
2007,07,7~12,台東縣,9,10014
2007,07,7~12,雲林縣,21,10009
2007,07,7~12,基隆市,12,10017
2007,08,0~6,嘉義市,90,10020
2007,08,0~6,嘉義縣,137,10010
2007,08,0~6,桃園市,789,68000
2007,08,0~6,屏東縣,390,10013
2007,08,0~6,南投縣,162,10008
2007,08,0~6,彰化縣,374,10007
2007,08,0~6,宜蘭縣,221,10002
2007,08,0~6,新北市,627,65000
2007,08,0~6,新竹市,354,10018
2007,08,0~6,新竹縣,166,10004
2007,08,0~6,花蓮縣,131,10015
2007,08,0~6,苗栗縣,175,10005
2007,08,0~6,高雄市,1093,64000
2007,08,0~6,台北市,1241,63000
2007,08,0~6,台中市,837,66000
2007,08,0~6,台南市,417,67000
2007,08,0~6,台東縣,139,10014
2007,08,0~6,雲林縣,181,10009
2007,08,0~6,基隆市,143,10017
2007,08,13~18,嘉義市,11,10020
2007,08,13~18,嘉義縣,19,10010
2007,08,13~18,桃園市,59,68000
2007,08,13~18,屏東縣,47,10013
2007,08,13~18,南投縣,29,10008
2007,08,13~18,彰化縣,18,10007
2007,08,13~18,宜蘭縣,25,10002
2007,08,13~18,新北市,116,65000
2007,08,13~18,新竹市,46,10018
2007,08,13~18,新竹縣,38,10004
2007,08,13~18,花蓮縣,16,10015
2007,08,13~18,苗栗縣,25,10005
2007,08,13~18,高雄市,126,64000
2007,08,13~18,台北市,136,63000
2007,08,13~18,台中市,96,66000
2007,08,13~18,台南市,42,67000
2007,08,13~18,台東縣,23,10014
2007,08,13~18,雲林縣,19,10009
2007,08,13~18,基隆市,12,10017
2007,08,19~64,嘉義市,75,10020
2007,08,19~64,嘉義縣,120,10010
2007,08,19~64,桃園市,738,68000
2007,08,19~64,屏東縣,368,10013
2007,08,19~64,南投縣,207,10008
2007,08,19~64,彰化縣,246,10007
2007,08,19~64,宜蘭縣,214,10002
